DataSource,RecordType,ReferenceYear,Location_State_UT,Location_Region,Location_District,Location_Block_Mandal_Taluk_Valley_Unit,Category,Parameter,Value_Numeric,Value_Text,Unit
NCDGWR2023.pdf,Historical_National_GWR,2017,India,NotAvailable,NotAvailable,NotAvailable,NotAvailable,Stage of Ground Water Extraction,63.0,NotAvailable,%
NCDGWR2023.pdf,Historical_National_GWR,2020,India,NotAvailable,NotAvailable,NotAvailable,NotAvailable,Stage of Ground Water Extraction,62.0,NotAvailable,%
NCDGWR2023.pdf,Historical_National_GWR,2022,India,NotAvailable,NotAvailable,NotAvailable,NotAvailable,Stage of Ground Water Extraction,60.0,NotAvailable,%
NCDGWR2023.pdf,Historical_National_GWR,2023,India,NotAvailable,NotAvailable,NotAvailable,NotAvailable,Stage of Ground Water Extraction,59.0,NotAvailable,%
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2004,India,NotAvailable,NotAvailable,NotAvailable,Total Assessed units,Total Assessed units,5723.0,NotAvailable,Count
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2009,India,NotAvailable,NotAvailable,NotAvailable,Total Assessed units,Total Assessed units,5842.0,NotAvailable,Count
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2011,India,NotAvailable,NotAvailable,NotAvailable,Total Assessed units,Total Assessed units,6607.0,NotAvailable,Count
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2013,India,NotAvailable,NotAvailable,NotAvailable,Total Assessed units,Total Assessed units,6584.0,NotAvailable,Count
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2017,India,NotAvailable,NotAvailable,NotAvailable,Total Assessed units,Total Assessed units,6881.0,NotAvailable,Count
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2020,India,NotAvailable,NotAvailable,NotAvailable,Total Assessed units,Total Assessed units,6965.0,NotAvailable,Count
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2022,India,NotAvailable,NotAvailable,NotAvailable,Total Assessed units,Total Assessed units,7089.0,NotAvailable,Count
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2023,India,NotAvailable,NotAvailable,NotAvailable,Total Assessed units,Total Assessed units,6553.0,NotAvailable,Count
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2004,India,NotAvailable,NotAvailable,NotAvailable,Safe,Number of Units,4078.0,NotAvailable,Count
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2004,India,NotAvailable,NotAvailable,NotAvailable,Safe,Percentage,71.3,NotAvailable,%
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2009,India,NotAvailable,NotAvailable,NotAvailable,Safe,Number of Units,4277.0,NotAvailable,Count
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2009,India,NotAvailable,NotAvailable,NotAvailable,Safe,Percentage,73.2,NotAvailable,%
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2011,India,NotAvailable,NotAvailable,NotAvailable,Safe,Number of Units,4503.0,NotAvailable,Count
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2011,India,NotAvailable,NotAvailable,NotAvailable,Safe,Percentage,68.2,NotAvailable,%
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2013,India,NotAvailable,NotAvailable,NotAvailable,Safe,Number of Units,4519.0,NotAvailable,Count
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2013,India,NotAvailable,NotAvailable,NotAvailable,Safe,Percentage,68.6,NotAvailable,%
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2017,India,NotAvailable,NotAvailable,NotAvailable,Safe,Number of Units,4310.0,NotAvailable,Count
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2017,India,NotAvailable,NotAvailable,NotAvailable,Safe,Percentage,62.6,NotAvailable,%
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2020,India,NotAvailable,NotAvailable,NotAvailable,Safe,Number of Units,4427.0,NotAvailable,Count
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2020,India,NotAvailable,NotAvailable,NotAvailable,Safe,Percentage,63.6,NotAvailable,%
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2022,India,NotAvailable,NotAvailable,NotAvailable,Safe,Number of Units,4780.0,NotAvailable,Count
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2022,India,NotAvailable,NotAvailable,NotAvailable,Safe,Percentage,67.4,NotAvailable,%
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2023,India,NotAvailable,NotAvailable,NotAvailable,Safe,Number of Units,4793.0,NotAvailable,Count
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2023,India,NotAvailable,NotAvailable,NotAvailable,Safe,Percentage,73.1,NotAvailable,%
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2004,India,NotAvailable,NotAvailable,NotAvailable,Semi-critical,Number of Units,550.0,NotAvailable,Count
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2004,India,NotAvailable,NotAvailable,NotAvailable,Semi-critical,Percentage,9.6,NotAvailable,%
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2009,India,NotAvailable,NotAvailable,NotAvailable,Semi-critical,Number of Units,523.0,NotAvailable,Count
